id,publication_year,cited_by_count,author_ids
https://openalex.org/W4380301697,2023,15,"['A5103493257', 'A5075527094', 'A5011195481', 'A5064475993']"
https://openalex.org/W2164314779,2001,107,"['A5086905649', 'A5059645286', 'A5049026777']"
https://openalex.org/W1999818624,2004,95,"['A5027080765', 'A5091626620', 'A5019012827', 'A5059645286']"
https://openalex.org/W2052883078,2010,82,"['A5060610138', 'A5059645286']"
https://openalex.org/W2096388069,2011,78,"['A5087734969', 'A5059645286']"
https://openalex.org/W1998633602,1969,71,"['A5040862915', 'A5059645286']"
https://openalex.org/W1973652911,2012,66,"['A5072404376', 'A5063166187', 'A5031538891']"
https://openalex.org/W1976032042,2012,66,"['A5002735772', 'A5070078178', 'A5063166187', 'A5077139210', 'A5028050486']"
https://openalex.org/W1971411457,2012,60,"['A5045783683', 'A5110472211', 'A5060270125', 'A5059645286', 'A5090811312']"
https://openalex.org/W2174438886,2015,59,"['A5063166187', 'A5064827570']"
https://openalex.org/W2735474825,2017,56,"['A5080267104', 'A5086073834']"
https://openalex.org/W2108681317,2013,55,"['A5008049737', 'A5063166187', 'A5064827570']"
https://openalex.org/W2800525656,2018,54,"['A5051870388', 'A5012914007', 'A5059645286', 'A5058534097', 'A5090631705']"
https://openalex.org/W2528827989,2016,49,"['A5061325810', 'A5059645286', 'A5073647790', 'A5060331544', 'A5087323681', 'A5052720011']"
https://openalex.org/W2586119920,2017,49,"['A5024445264', 'A5082048229', 'A5090631705', 'A5029566645', 'A5059645286']"
https://openalex.org/W2565284482,2016,47,"['A5015534160', 'A5030571651']"
https://openalex.org/W2981907370,2020,44,"['A5076887081', 'A5080267104']"
https://openalex.org/W3161372380,2021,39,"['A5007123077', 'A5090252428', 'A5028412677', 'A5088883088']"
https://openalex.org/W3159147869,2021,35,"['A5087150169', 'A5040820784', 'A5032530421']"
https://openalex.org/W3192265806,2021,34,"['A5071349842', 'A5066924384', 'A5027112658']"
https://openalex.org/W4224994322,2022,26,"['A5057624211', 'A5040820784', 'A5100454626', 'A5051322312', 'A5029239726', 'A5112283852', 'A5032530421', 'A5046881273']"
https://openalex.org/W3175604790,2022,22,"['A5081490882', 'A5075915146', 'A5069939742']"
https://openalex.org/W4307020316,2022,22,"['A5061375468', 'A5075915146', 'A5078361948', 'A5083843990', 'A5069939742']"
